id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-15,CLI001,debito,89.90,Farmácia,compra
4,2026-01-20,CLI003,credito,1200.00,Freelance,servico
5,2026-01-28,CLI002,debito,450.00,Aluguel parcial,moradia
6,2026-02-03,CLI001,debito,200.00,Transferência PIX,transferencia
7,2026-02-10,CLI002,credito,2800.00,Salário fevereiro,salario
8,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
9,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
10,2026-02-25,CLI001,debito,75.00,Streaming,assinatura
11,2026-03-01,CLI001,credito,3500.00,Salário março,salario
12,2026-03-05,CLI003,debito,99.90,Streaming,assinatura
13,2026-03-12,CLI002,debito,560.00,Supermercado,compra
14,2026-03-18,CLI003,credito,12500.00,Investimento resgatado,investimento
15,2026-03-22,CLI001,debito,150.00,Uber,transporte
16,2026-03-28,CLI002,credito,400.00,Reembolso,outros
17,abc,CLI001,debito,100.00,ID inválido,compra
18,2026-02-01,,debito,200.00,Sem cliente,transferencia
19,2026-13-40,CLI002,credito,500.00,Data inválida,salario
20,2026-01-10,CLI001,pix,50.00,Tipo inválido,transferencia
21,2026-01-11,CLI003,debito,0,Valor zero,compra
22,2026-01-12,CLI001,debito,-10.00,Valor negativo,compra
23,2026-03-01,CLI002,credito,xyz,Valor não numérico,compra
